"City","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","Sport","Event","Medal","Country","host","TeamEvent","won","n_medals"
"Rio de Janeiro",73068,"Leonora Mackinnon",0,22,180,80,"Canada","CAN","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",56091,"Bogna Jwiak",0,33,182,80,"Poland","POL","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",107837,"Athos Marangon Schwantes",1,31,190,85,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",1,0,0,0
"Rio de Janeiro",76230,"Alexander Chen Massialas",1,22,188,81,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual","Silver","Brazil",0,0,1,0
"Rio de Janeiro",91120,"Kseniya Hennadivna Panteleieva",0,22,168,75,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",34717,"Fares Al-Ferjani",1,19,175,60,"Tunisia","TUN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",47325,"Max Heinzer",1,28,178,77,"Switzerland","SUI","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",67538,"Erwann Lucien douard Le Pchoux",1,34,171,65,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",47325,"Max Heinzer",1,28,178,77,"Switzerland","SUI","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",54630,"Daniel Jrent",1,25,189,84,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",20194,"Chen Haiwei",1,21,188,78,"China","CHN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",121073,"Jean-Paul Tony Helissey",1,26,177,77,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team","Silver","Brazil",0,1,1,0
"Rio de Janeiro",17863,"Marie-Florence Candassamy",0,25,185,74,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
